unique_id;Date; Open;High;Low;Close;Adj;Close2;Volume
1;15-Jul-24;0.197;0.197;0.197;0.197;0.197;-;
1;12-Jul-24;0.199;0.199;0.199;0.199;0.199;-;
1;11-Jul-24;0.204;0.204;0.204;0.204;0.204;-;
1;10-Jul-24;0.212;0.212;0.212;0.212;0.212;-;
1;09-Jul-24;0.214;0.214;0.214;0.214;0.214;-;
1;08-Jul-24;0.218;0.24;0.218;0.24;0.24;750;
1;05-Jul-24;0.216;0.216;0.216;0.216;0.216;-;
1;04-Jul-24;0.218;0.218;0.218;0.218;0.218;-;
1;03-Jul-24;0.214;0.214;0.214;0.214;0.214;-;
1;02-Jul-24;0.224;0.224;0.222;0.222;0.222;5;
1;01-Jul-24;0.226;0.226;0.226;0.226;0.226;19.16;
1;28-Jun-24;0.226;0.226;0.226;0.226;0.226;-;
1;27-Jun-24;0.214;0.214;0.214;0.214;0.214;2;
1;26-Jun-24;0.216;0.216;0.216;0.216;0.216;-;
1;25-Jun-24;0.216;0.216;0.216;0.216;0.216;-;
1;24-Jun-24;0.224;0.224;0.224;0.224;0.224;-;
1;21-Jun-24;0.224;0.224;0.224;0.224;0.224;-;
1;20-Jun-24;0.218;0.218;0.218;0.218;0.218;-;
1;19-Jun-24;0.216;0.216;0.216;0.216;0.216;-;
1;18-Jun-24;0.2173;0.2173;0.2173;0.2173;0.2173;-;
1;17-Jun-24;0.241;0.241;0.237;0.237;0.237;6.748;
1;14-Jun-24;0.241;0.241;0.241;0.241;0.241;-;
1;13-Jun-24;0.241;0.241;0.241;0.241;0.241;-;
1;12-Jun-24;0.241;0.241;0.241;0.241;0.241;-;
1;11-Jun-24;0.241;0.241;0.241;0.241;0.241;-;
1;10-Jun-24;0.244;0.244;0.244;0.244;0.244;-;
1;07-Jun-24;0.244;0.244;0.244;0.244;0.244;-;
1;06-Jun-24;0.244;0.244;0.244;0.244;0.244;-;
1;05-Jun-24;0.244;0.268;0.244;0.268;0.268;230;
1;04-Jun-24;0.256;0.256;0.256;0.256;0.256;-;
1;03-Jun-24;0.264;0.264;0.264;0.264;0.264;-;
1;31-May-24;0.266;0.266;0.266;0.266;0.266;-;
1;30-May-24;0.274;0.274;0.274;0.274;0.274;-;
1;29-May-24;0.278;0.278;0.278;0.278;0.278;-;
1;28-May-24;0.278;0.278;0.278;0.278;0.278;-;
1;27-May-24;0.258;0.28;0.258;0.28;0.28;4.669;
1;24-May-24;0.268;0.268;0.268;0.268;0.268;155;
1;23-May-24;0.268;0.268;0.268;0.268;0.268;-;
1;22-May-24;0.27;0.27;0.27;0.27;0.27;-;
1;21-May-24;0.278;0.278;0.278;0.278;0.278;-;
1;20-May-24;0.284;0.284;0.284;0.284;0.284;-;
1;17-May-24;0.252;0.252;0.252;0.252;0.252;-;
1;16-May-24;0.246;0.246;0.246;0.246;0.246;-;
1;15-May-24;0.244;0.244;0.244;0.244;0.244;-;
1;14-May-24;0.244;0.244;0.244;0.244;0.244;-;
1;13-May-24;0.248;0.248;0.248;0.248;0.248;-;
1;10-May-24;0.252;0.252;0.252;0.252;0.252;-;
1;09-May-24;0.252;0.252;0.252;0.252;0.252;-;
1;08-May-24;0.252;0.252;0.252;0.252;0.252;-;
1;07-May-24;0.252;0.252;0.252;0.252;0.252;-;
1;06-May-24;0.228;0.228;0.228;0.228;0.228;-;
1;03-May-24;0.22;0.22;0.22;0.22;0.22;-;
1;02-May-24;0.222;0.222;0.222;0.222;0.222;-;
1;30-Apr-24;0.226;0.226;0.226;0.226;0.226;-;
1;29-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;26-Apr-24;0.22;0.22;0.22;0.22;0.22;-;
1;25-Apr-24;0.22;0.22;0.22;0.22;0.22;-;
1;24-Apr-24;0.232;0.232;0.232;0.232;0.232;5;
1;23-Apr-24;0.238;0.268;0.238;0.268;0.268;2.114;
1;22-Apr-24;0.246;0.27;0.246;0.27;0.27;85;
1;19-Apr-24;0.23;0.23;0.23;0.23;0.23;-;
1;18-Apr-24;0.236;0.236;0.236;0.236;0.236;-;
1;17-Apr-24;0.24;0.24;0.24;0.24;0.24;-;
1;16-Apr-24;0.242;0.242;0.242;0.242;0.242;-;
1;15-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;12-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;11-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;10-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;09-Apr-24;0.224;0.252;0.224;0.252;0.252;55;
1;08-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;05-Apr-24;0.226;0.226;0.226;0.226;0.226;-;
1;04-Apr-24;0.226;0.226;0.226;0.226;0.226;-;
1;03-Apr-24;0.224;0.224;0.224;0.224;0.224;-;
1;02-Apr-24;0.22;0.22;0.22;0.22;0.22;-;
1;28-Mar-24;0.222;0.222;0.222;0.222;0.222;-;
1;27-Mar-24;0.224;0.224;0.224;0.224;0.224;-;
1;26-Mar-24;0.222;0.222;0.222;0.222;0.222;-;
1;25-Mar-24;0.224;0.224;0.224;0.224;0.224;-;
1;22-Mar-24;0.232;0.232;0.232;0.232;0.232;-;
1;21-Mar-24;0.234;0.234;0.234;0.234;0.234;-;
1;20-Mar-24;0.228;0.228;0.228;0.228;0.228;-;
1;19-Mar-24;0.232;0.232;0.23;0.23;0.23;1;
1;18-Mar-24;0.236;0.262;0.236;0.262;0.262;15;
1;15-Mar-24;0.236;0.236;0.236;0.236;0.236;-;
1;14-Mar-24;0.236;0.236;0.236;0.236;0.236;-;
1;13-Mar-24;0.234;0.234;0.234;0.234;0.234;-;
1;12-Mar-24;0.22;0.22;0.22;0.22;0.22;-;
1;11-Mar-24;0.22;0.22;0.22;0.22;0.22;-;
1;08-Mar-24;0.218;0.218;0.218;0.218;0.218;-;
1;07-Mar-24;0.226;0.226;0.226;0.226;0.226;-;
1;06-Mar-24;0.224;0.224;0.224;0.224;0.224;-;
1;05-Mar-24;0.23;0.23;0.23;0.23;0.23;5;
1;04-Mar-24;0.238;0.238;0.238;0.238;0.238;-;
1;01-Mar-24;0.23;0.23;0.228;0.228;0.228;1;
1;29-Feb-24;0.224;0.224;0.224;0.224;0.224;-;
1;28-Feb-24;0.226;0.226;0.226;0.226;0.226;-;
1;27-Feb-24;0.22;0.22;0.22;0.22;0.22;-;
1;26-Feb-24;0.214;0.214;0.214;0.214;0.214;-;
1;23-Feb-24;0.222;0.248;0.222;0.248;0.248;5;
1;22-Feb-24;0.214;0.214;0.214;0.214;0.214;-;
